Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
allaml,ICL,0.2,100,512,1,0.01,200,0.6902777777777778,0.0146328524345177,0.10118342654439745,0.021393376134679818
allaml,ICL,0.3,100,512,1,0.01,100,0.6895833333333334,0.007948279959902483,0.09902603374578804,0.00854944229392384
allaml,ICL,1.0,100,512,1,0.09,50,0.6888888888888889,0.006804138174397693,0.08968705062845143,0.005763571331809771
allaml,ICL,0.15,100,512,1,0.01,300,0.6875,0.016137430609197582,0.09983751805544926,0.021679021097898963
allaml,ICL,0.35,100,512,1,0.01,50,0.6868055555555556,0.006909634979907058,0.09614836342102341,0.005898447451501284
allaml,ICL,0.6,100,512,1,0.08,50,0.6861111111111111,0.031180478223116186,0.08487819299540691,0.01759806296815822
allaml,ICL,0.15,100,512,1,0.01,250,0.6854166666666668,0.01825477698346517,0.09634138987126026,0.022779220432307325
allaml,ICL,0.2,100,512,1,0.01,150,0.6833333333333333,0.010393492741038726,0.09622329553569323,0.00896130110566969
allaml,ICL,0.2,100,512,1,0.01,50,0.6805555555555556,0.0,0.0908130169549531,1.3877787807814457e-17
allaml,ICL,0.3,100,512,1,0.01,50,0.6805555555555556,0.0,0.0908130169549531,1.3877787807814457e-17
allaml,ICL,0.15,100,512,1,0.01,200,0.6805555555555556,0.017010345435994296,0.09024473790841746,0.019947365169832695
allaml,ICL,0.2,100,512,1,0.01,100,0.675,0.0068041381743977475,0.08277764839044288,0.0035962350886802855
allaml,ICL,0.15,100,512,1,0.01,150,0.6680555555555555,0.019592688860647075,0.07470188043459493,0.0194188990919532
allaml,ICL,0.15,100,512,1,0.01,100,0.6618055555555555,0.006624577787617655,0.0764363542455395,0.004764545960088396
allaml,ICL,0.15,100,512,1,0.01,50,0.6611111111111111,0.006804138174397693,0.07593689411715697,0.004893689845608745
basehock,ICL,1.0,100,512,1,0.05,50,0.5513798294029101,0.04392556259767538,0.03635744287324222,0.02464200276448186
basehock,ICL,0.6,100,512,1,0.08,50,0.5427496236828901,0.04411264148048441,0.03051860259886689,0.023507426448466956
basehock,ICL,1.0,100,512,1,0.05,200,0.5386352232814853,0.026741531490431167,0.032658722261564875,0.017358423366854274
basehock,ICL,0.3,100,512,1,0.05,50,0.5361264425489212,0.02238276749777774,0.01988670007323995,0.0068233250781833425
basehock,ICL,0.95,100,512,1,0.05,50,0.5360010035122931,0.03520200224086091,0.030907226504713104,0.02704767477799948
basehock,ICL,0.25,100,512,1,0.05,150,0.5340190667335676,0.024103155769324813,0.01762621686860965,0.009159422480551625
basehock,ICL,0.25,100,512,1,0.05,100,0.531334671349724,0.025599141778521486,0.020040186668241408,0.009804205634419465
basehock,ICL,0.95,100,512,1,0.05,100,0.5308830908178624,0.0341840961153477,0.02635355799475387,0.020324192754404724
basehock,ICL,0.25,100,512,1,0.03,50,0.5304064224786755,0.03715093452663335,0.029839354211698792,0.03135522665684547
basehock,ICL,0.95,100,512,1,0.05,200,0.52980431510286,0.02677041852734809,0.020690659147453903,0.016702831659611245
basehock,ICL,1.0,100,512,1,0.05,150,0.529528349222278,0.027828824849691743,0.02641078124650422,0.01882599366855902
basehock,ICL,0.95,100,512,1,0.05,300,0.5293778223783241,0.02647041883205411,0.01843263545542713,0.013203841176639908
basehock,ICL,1.0,100,512,1,0.09,150,0.5293025589563471,0.03516659174246314,0.038136505427929845,0.04125010106993678
