Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
coil20,ICL,0.3,100,512,1,0.1,300,0.6427083333333333,0.039390061787113156,0.7662879133988251,0.016432333031577765
coil20,ICL,0.7,100,512,1,0.08,150,0.6420138888888889,0.03880229694820644,0.7586515094996197,0.01646727142439576
coil20,ICL,0.5,100,512,1,0.07,250,0.6419791666666667,0.04180848261716753,0.76423838563234,0.02229242449203994
coil20,ICL,0.5,100,512,1,0.07,250,0.6419791666666667,0.04180848261716753,0.76423838563234,0.02229242449203994
coil20,ICL,0.95,100,512,1,0.02,300,0.6419791666666665,0.021603222415880467,0.7660368834403037,0.011854030267861429
coil20,ICL,0.3,100,512,1,0.08,150,0.6419791666666665,0.020743411260574007,0.7460113785884215,0.011847268348479118
coil20,ICL,0.85,100,512,1,0.06,250,0.641875,0.029351349817531583,0.7528502306999275,0.015472595972402857
coil20,ICL,0.4,100,512,1,0.09,100,0.6417013888888887,0.030705499360411354,0.7328660544893347,0.011932230483612681
coil20,ICL,0.85,100,512,1,0.02,150,0.6416666666666667,0.029996463268891813,0.7648815483713263,0.014910680099610642
coil20,ICL,0.3,100,512,1,0.11,300,0.6416319444444444,0.045909277884873055,0.7622739604453372,0.021215448108763926
coil20,ICL,0.5,100,512,1,0.06,300,0.6415277777777779,0.04463857342763454,0.766351231080097,0.017789949204547652
coil20,ICL,0.5,100,512,1,0.06,300,0.6415277777777779,0.04463857342763454,0.766351231080097,0.017789949204547652
coil20,ICL,0.35,100,512,1,0.07,250,0.6414236111111111,0.036983502614863016,0.760655847706059,0.013752421419569685
coil20,ICL,0.35,100,512,1,0.11,250,0.6413541666666668,0.025231829232228102,0.7538577424087927,0.011930735449643444
coil20,ICL,0.7,100,512,1,0.02,300,0.6412847222222221,0.03254009501468634,0.737507337838023,0.016234990242115076
coil20,ICL,0.6,100,512,1,0.04,250,0.6410763888888888,0.030536827436082995,0.7694594487711864,0.015252832647190946
coil20,ICL,0.3,100,512,1,0.08,300,0.6410763888888888,0.0331711004329851,0.7597963912979796,0.0134963920110159
coil20,ICL,1.0,100,512,1,0.1,300,0.6410416666666666,0.025043268883235364,0.7618794021705068,0.015505600697307362
coil20,ICL,0.65,100,512,1,0.05,300,0.6410069444444445,0.039153659064418436,0.750798156069964,0.02073846880092702
coil20,ICL,0.85,100,512,1,0.02,200,0.6409374999999999,0.04338942850265531,0.7633339632055953,0.020891304348233237
coil20,ICL,0.4,100,512,1,0.09,150,0.6409027777777777,0.0398280084190715,0.7362577406369541,0.01668783604867232
coil20,ICL,0.95,100,512,1,0.02,150,0.6407291666666668,0.038343946673859465,0.7733947842770224,0.015698287993120476
coil20,ICL,0.35,100,512,1,0.07,300,0.6406944444444445,0.032743184428873286,0.7574392053407883,0.01543958678681632
